name,stuff,bv,difficulty,tags,methods,tools,
土豆拌茄子,土豆、茄子,BV1VT4y1J7Y8,简单,凉菜,蒸,一口大锅,
香菜拌牛肉,牛肉,BV1144y1n7ZV,简单,凉菜,凉拌,一口大锅,
小菜炝拌萝卜条,白萝卜,BV1nS4y1X7tM,简单,凉菜,拌,一口大锅,
海苔虾饼,虾、胡萝卜,BV16T4y1i78D,困难,零食,炸/煎,一口大锅,
灵魂土豆丸子,土豆,BV1Z64y1674r,,零食,蒸,一口大锅,
薯塔,土豆,BV1uF411v7SQ,普通,零食,炸,一口大锅,
盖码莴笋,莴笋、猪肉,BV1aV411v7xw,简单,清爽,盖浇,一口大锅,
大根烧,白萝卜,BV1TW411e7Ln,普通,日式,烧,一口大锅,
名古屋鸡翅,鸡肉,BV1ET4y1A7Xd,普通,日式,炸,一口大锅,
日式炖白萝,白萝卜,BV17b411B7H1,简单,日式,炖,一口大锅,
炸虾天妇罗,虾,BV1e5411t7LY,困难,日式,炸,一口大锅,
可乐饼,土豆、洋葱、肉、鸡蛋,BV17x411U75q,普通,日式菜,炸,一口大锅,
清炒莴笋丝,莴笋、胡萝卜,BV1qK411H7RL,简单,爽口,炒,一口大锅,
莴笋泡菜,莴笋,BV1h741127rS,简单,爽口,泡菜,一口大锅,
口蘑汤,菌菇,BV1e64y1h776,简单,汤,煎、炖,一口大锅,
蘑菇浓汤,菌菇、洋葱、芹菜,BV1Ut411C7Cu,普通,汤,炖,一口大锅,
KFC同款香辣鸡翅,鸡肉,BV1A7411u7Ji,普通,同款,炸,一口大锅,
M记同款薯条,土豆,BV1Jx411x7iU,,同款,,一口大锅,
乐事同款原味薯片,土豆、黄瓜,BV1vR4y1N7fN,简单,同款,,一口大锅,
M记同款麦乐鸡,鸡肉、鸡蛋,BV1KA411e7Gr,,同款,,一口大锅,
洋芋擦擦,土豆、胡萝卜,BV1fY41187Xo,普通,西北特色,蒸,一口大锅,
白萝卜炒肉片,白萝卜、猪肉,BV1qL4y1i7xD,普通,下饭,炒,一口大锅,
爆汁茄子,茄子、米,BV1rL4y1L751,简单,下饭,烧,一口大锅,
番茄肉酱,番茄、芹菜、洋葱、猪肉、米、面食,BV1hF411t7hS,普通,下饭,烧,一口大锅,
番茄土豆炖牛腩,牛肉、土豆、番茄、洋葱,BV1344y1n73V,普通,下饭,煮,一口大锅,
干锅土豆片,土豆、猪肉、米,BV1ZZ4y1A7HK,简单,下饭,炒,一口大锅,
干锅土豆五花肉,猪肉、土豆、洋葱,BV1CV411W7AD,简单,下饭,炒,一口大锅,
红烧肉,猪肉,BV1vk4y127ZB,简单,下饭,煮,一口大锅,
胡萝卜炒里脊肉,胡萝卜、猪肉、米,BV1Ff4y1x7FX,普通,下饭,炒,一口大锅,
胡萝卜炒肉,猪肉、胡萝卜,BV1Ff4y1x7FX,简单,下饭,炒,一口大锅,
胡萝卜炒五花肉,胡萝卜、猪肉、米,BV1jW411Z7yd,普通,下饭,炒,一口大锅,
红烧肉,猪肉、鸡肉,BV1MJ411t7pT,,,,一口大锅,
可乐鸡翅,鸡肉,BV1pJ411v7S9,,,,一口大锅,
可乐鸡翅包虾滑,虾、鸡肉、米,BV1Pb4y1p7mi,困难,下饭,煎,一口大锅,
腊肠烧茄子,腊肠、茄子、米,BV1bW41127MW,普通,下饭,烧,一口大锅,
腊肠烧土豆,腊肠、土豆、米,BV1TL411V7Cp,普通,下饭,烧,一口大锅,
萝卜泡菜,白萝卜,BV1VE411y7dr,普通,下饭,腌,一口大锅,
麻辣凉拌包菜,包菜,BV18f4y1e7cy,简单,下饭,拌,一口大锅,
炝炒西葫芦,西葫芦、番茄,BV1QU4y1f7sY,普通,下饭,炒,一口大锅,
芹菜炒肉,猪肉、芹菜,BV1v7411T7is,简单,下饭,炒,一口大锅,
芹菜肥牛,芹菜、牛肉,BV1ML4y1G7ba,,下饭,,一口大锅,
芹菜粉,芹菜、面食,BV1Eh411Y7Y3,,下饭,,一口大锅,
芹菜鸡翅焖锅,芹菜、鸡肉,av761877317,普通,下饭,烧,一口大锅,
芹菜木耳炒蛋,芹菜、鸡蛋,BV1Dt411o7hq,,下饭,,一口大锅,
芹菜油豆腐,芹菜、豆腐,BV15J411G7Dx,,下饭,,一口大锅,
肉末土豆,土豆、肉、米,BV1ZS4y127wm,,下饭,炒,一口大锅,
莴笋炒肉,莴笋、猪肉,BV1d3411H7G5,普通,下饭,炒,一口大锅,
西葫芦炒蛋,西葫芦、鸡蛋、番茄,BV1wT4y1Q7Db,简单,下饭,炒,一口大锅,
西葫芦炒五花肉,西葫芦、猪肉,BV1TL411T7eX,普通,下饭,炒,一口大锅,
香辣土豆片,土豆、米,BV1Sq4y137uw,,下饭,煮,一口大锅,
小炒拆骨肉,骨头、米,BV14p411o7zm,困难,下饭,炒,一口大锅,
孜然土豆火腿,土豆、香肠、米,BV1k44y147kM,简单,下饭,炸,一口大锅,
芹菜猪肉馅料,芹菜、猪肉,BV18b411r7CP,,馅料,,一口大锅,
包菜厚蛋烧,包菜、鸡蛋,BV11g411A7QE,普通,小吃,烧,一口大锅,
风味茄子,茄子,BV1tZ4y1U7iN,普通,小吃,炸,一口大锅,
油炸白萝卜,白萝卜,BV1J54y1x7ie,简单,小吃,炸,一口大锅,
炸包菜串,包菜,BV1Ts411F7q3,简单,小吃,炸,一口大锅,
日式炒胡萝卜丝,胡萝卜,BV1mY411774Z,简单,消耗囤货,炒,一口大锅,
番茄肉酱面,番茄、猪肉、面食,BV1Cm4y1Q7RS,简单,意式,烧,一口大锅,
胡萝卜炒蛋,胡萝卜、鸡蛋,BV11E411Q7WB,简单,营养,炒,一口大锅,
番茄酸汤火锅,番茄、胡萝卜、菌菇、洋葱、豆腐、面食、白萝卜、土豆、白菜、猪肉、牛肉、午餐肉,BV1yz4y1C7Qu,困难,杂烩,,一口大锅,
骨头汤火锅锅底做法（全鸡版）,骨头、土豆、胡萝卜、花菜、白萝卜、西葫芦、芹菜、菌菇、豆腐、包菜、白菜、午餐肉、鸡肉、猪肉、虾、牛肉、面食、方便面,BV1bi4y187ro,困难,杂烩,,一口大锅,
乱炖鸡胸,鸡肉、洋葱、菌菇、胡萝卜、土豆,BV1Qb411u7Vu,普通,杂烩,,一口大锅,
清汤锅万能高汤做法（鸡蛋+猪肉）,猪肉、鸡蛋、土豆、胡萝卜、花菜、白萝卜、西葫芦、芹菜、菌菇、豆腐、包菜、白菜、午餐肉、鸡肉、虾、牛肉、面食、方便面,BV1zD4y197Us,困难,杂烩,,一口大锅,
无米炒饭,花菜、黄瓜、胡萝卜、鸡蛋、豆腐、虾,BV1Cf4y1V7sv,,杂烩,,一口大锅,
胡萝卜蛋饼,胡萝卜、鸡蛋,BV1Nh411Z7hZ,简单,早餐,煎,一口大锅,
土豆丝饼,土豆,BV1fY41187Xo,简单,早餐,煎,一口大锅,
午餐肉蛋饼,午餐肉、鸡蛋、面包,BV1d34y1X7A5,简单,早餐,煎,一口大锅,
午餐肉饭团,午餐肉、米,BV1v7411t7uS,简单,早餐,煎,一口大锅,
午餐肉米汉堡,午餐肉、米、鸡蛋、包菜,BV1n5411U78R,简单,早餐,煎,一口大锅,
萝卜砂锅粥,白萝卜、米,BV1mz4y1C7H9,普通,早饭,煮,一口大锅,
麻辣豆腐包,面食、豆腐,BV1y64y1U7jY,普通,早饭,蒸,一口大锅,
棉花馒头,面食,BV1SK4y1r7dr,普通,早饭,蒸,一口大锅,
奶黄包,面食、鸡蛋,BV1et4y127jQ,普通,早饭,蒸,一口大锅,
蒸花卷,面食,BV1w64y1X7cT,困难,早饭,蒸,一口大锅,
茄子焖面,茄子、番茄、面食,BV1BA411H771,简单,主食,烧,一口大锅,
芹菜肉饺子,芹菜、猪肉、面食,av546464255,普通,主食,蒸,一口大锅,
芹菜蒸面卷,芹菜、胡萝卜、面食,BV1JZ4y1s7Sh,,主食,,一口大锅,
蒸芹菜叶,芹菜、面食,BV1Rg411c72w,,主食,,一口大锅,
白菜炒土豆片,白菜、土豆,BV17y4y1e76x,普通,,,一口大锅,
白菜炒香菇,白菜、菌菇,BV1MS4y117Kp,普通,,,一口大锅,
白菜荷包蛋,白菜、鸡蛋、猪肉,BV16W411a7V8,,,,一口大锅,
白菜鸡蛋烙,白菜、鸡蛋,BV1rb411F7en,,,,一口大锅,
白菜鸡胸肉,白菜、鸡肉,BV1nf4y127Cx,,,,一口大锅,
白菜鸡胸肉卷,白菜、鸡肉、鸡蛋,BV1nf4y127Cx,,,,一口大锅,
白菜卷火锅,白菜、菌菇、胡萝卜、香肠,BV1wY411n7Vk,,,,一口大锅,
白菜酿肉,白菜、猪肉、胡萝卜、菌菇,BV1Q5411J7oT,,,,一口大锅,
白菜肉卷,白菜、番茄、洋葱、猪肉、米、鸡蛋,BV1Ru411C7Hn,困难,,,一口大锅,
白菜三丝饼,白菜、胡萝卜、西葫芦、鸡蛋,BV1oF411B7Ys,普通,,,一口大锅,
白萝卜煲,白萝卜、骨头,BV1dU4y1u7eb,普通,,煲,一口大锅,
白萝卜炒鸡蛋,白萝卜、鸡蛋,BV1PK4y157u2,普通,,炒,一口大锅,
白萝卜大骨头汤,骨头、白萝卜,BV1HE41137ZY,普通,,炖,一口大锅,
白萝卜炖猪脚,白萝卜、猪肉,BV1m7411c7pD,困难,,炖,一口大锅,
白萝卜骨头汤,白萝卜、骨头,BV1gf4y1u7ap,普通,,煮,一口大锅,
白萝卜焖鸡翅,白萝卜、鸡肉,BV1fs41187XG,普通,,,一口大锅,
白萝卜烧肉,白萝卜、猪肉,BV1x54y147mz,普通,,烧,一口大锅,
白切肉,猪肉,BV15h411s7Ze,,,,一口大锅,
班尼迪克蛋,鸡蛋、面包,BV1TT4y127vu,,,,一口大锅,
包菜炒蛋,包菜、鸡蛋,BV1w34y1k7wu,简单,,炒,一口大锅,
包菜炒香肠,包菜、腊肠,BV1AW411m77S,普通,,炒,一口大锅,
包菜大阪烧,包菜、鸡蛋,BV1tA411F7Eq,普通,,煎,一口大锅,
包菜豆腐煲,包菜、豆腐,BV1Cq4y157s1,普通,,煲,一口大锅,
包菜烧肉,包菜、猪肉,BV1Wp4y1a7YR,普通,,烧,一口大锅,
包菜五花肉,猪肉、包菜,BV1La411F7H4,普通,,炒,一口大锅,
抱蛋肥牛饭,洋葱、牛肉、鸡蛋、米,BV1Kb4y147m2,,,,一口大锅,
爆汁肉饼,猪肉、鸡蛋,BV1Cm4y1X7ej,,,,一口大锅,
爆汁香脆蛋,鸡蛋,BV1yR4y1575Y,,,,一口大锅,
biangbiang面,面食,BV1844y157GL,简单,,油泼,一口大锅,
菜包鸡胸,鸡肉,BV1h54y1Q7pf,,,,一口大锅,
茶叶蛋,鸡蛋,BV1TT4y127vu,,,卤,一口大锅,
娼妇意面,番茄、洋葱,BV1hF411t7hS,普通,,烧,一口大锅,
炒白萝卜丝,白萝卜,BV1ph411p7Pm,简单,,炒,一口大锅,
炒方便面,方便面、鸡蛋、香肠,BV1Q54y1p7n8,普通,,炒,一口大锅,
潮汕杂菇煲,菌菇、猪肉,BV15E411K7B5,简单,,炒,一口大锅,
川味泡面,方便面、鸡蛋,BV1G7411f7FA,简单,,煮,一口大锅,
葱油拌面,面食,BV1H7411c7Xe,简单,,拌,一口大锅,
葱油饼,面食,BV1gb411J7Xe,普通,,烙,一口大锅,
葱油焖鸡翅,鸡肉、洋葱、菌菇,BV1uP4y1P7oQ,普通,,煎,一口大锅,
醋溜白菜,白菜、米,BV12K4y157im,,,,一口大锅,
醋卤面,面食、猪肉,BV1XC4y1p7Yn,普通,,拌,一口大锅,
脆皮糖醋豆腐,豆腐,BV1dU4y1d7hz,普通,,,一口大锅,
脆皮土豆虾,虾、土豆,BV1Kq4y1q7PM,普通,,炸,一口大锅,
大餐口味方便面,方便面,BV1s34y1X74a,,,,一口大锅,
大虾烧白菜,白菜、虾,BV1yT4y157x5,,,,一口大锅,
地三鲜,土豆、茄子,BV1st4y1Y73H,,,,一口大锅,
东北鸡蛋酱,鸡蛋,BV1TT4y127vu,,,炒,一口大锅,
豆腐饭（蛋炒饭）,豆腐、鸡蛋、米,BV1dU4y1d7hz,普通,,,一口大锅,
法式炒蛋,鸡蛋,BV1TT4y127vu,,,炒,一口大锅,
法式胡萝卜炖牛肉,胡萝卜、牛肉、洋葱,BV1UR4y1V7nV,困难,,炖,一口大锅,
番茄肥牛,番茄、牛肉,BV1hF411t7hS,普通,,烧,一口大锅,
番茄肥牛面,番茄、牛肉、面食,BV1xb4y167LH,普通,,煮,一口大锅,
番茄虾滑汤,番茄、虾、面食,BV1eZ4y1o7TK,困难,,煮,一口大锅,
番茄鸡翅焖锅,鸡肉、胡萝卜、土豆、洋葱,BV1Ap4y147Ac,普通,,煮,一口大锅,
番茄鸡蛋面,方便面、番茄、鸡蛋,BV1tL4y1b7SM,简单,,煮,一口大锅,
番茄鸡蛋油泼面,番茄、鸡蛋、面食,BV1hF411t7hS,普通,,煮,一口大锅,
番茄焖面,番茄、面食、香肠、鸡蛋,BV1NL4y1571X,,,,一口大锅,
番茄排骨汤,番茄、骨头,BV11y4y167Wa,普通,,煮,一口大锅,
番茄烧茄子,茄子、番茄,BV11b4y1i7ck,普通,,烧,一口大锅,
番茄土豆牛腩饭,牛肉、土豆、番茄、胡萝卜、米,BV1La411i73b,普通,,煮,一口大锅,
番茄芝士蛋饼,番茄、鸡蛋,BV1PQ4y1d7ew,普通,,煎,一口大锅,
方便面炒饭,方便面、米、香肠、鸡蛋,BV1Uf4y157RG,简单,,炒,一口大锅,
翡翠玉带虾仁,黄瓜、虾、鸡蛋,BV1E4411w7wC,复杂,,,一口大锅,
富贵金钱蛋（湖南口味辣）,鸡蛋,BV15q4y1A784,,,,一口大锅,
干锅花菜,花菜、洋葱、米,BV1Rb4y147bZ,普通,,,一口大锅,
干锅莴笋,莴笋,BV1TC4y1W76c,,,,一口大锅,
干锅西葫芦,西葫芦、洋葱,BV1eP4y1T76T,普通,,炒,一口大锅,
干锅西葫芦,西葫芦、猪肉,BV1Vu411B7o6,,,,一口大锅,
宫保鸡丁,鸡肉、黄瓜,BV1wE411T7X5,,,,一口大锅,
骨汤面,方便面、鸡蛋、牛肉,BV1Uf4y157RG,简单,,煮,一口大锅,
骨头炖肉,骨头、猪肉,BV1bS4y1K7BD,普通,,炖,一口大锅,
海鲜泡面,方便面、虾、鸡蛋,BV1G7411f7FA,简单,,煮,一口大锅,
黑椒鸡胸肉,鸡肉,BV1PX4y1V7S3,,,,一口大锅,
红烧大骨头,骨头,BV1hg4y1i7Ss,普通,,烧,一口大锅,
厚蛋烧,鸡蛋,BV1TT4y127vu,,,煎,一口大锅,
胡辣莴笋,莴笋,BV1NW411T7Xb,,,,一口大锅,
花菜虾仁炒饭,花菜、虾仁、米、洋葱、胡萝卜,BV1z4411a7dy,普通,,,一口大锅,
滑蛋牛肉,牛肉、鸡蛋,BV12u411Z72s,简单,,炒,一口大锅,
黄瓜炒鸡蛋,黄瓜、鸡蛋,BV1Fi4y1E7pt,简单,,炒,一口大锅,
黄瓜鸡蛋卷,黄瓜、鸡蛋,BV1GW411L7Sb,普通,,,一口大锅,
黄瓜鸡蛋汤,黄瓜、鸡蛋,BV1zi4y1w7C8,简单,,,一口大锅,
黄瓜鸡胸肉,鸡肉、黄瓜、胡萝卜,BV1BF41137JV,普通,,,一口大锅,
黄瓜钱炒肉,黄瓜、猪肉,BV1WS4y1r7Tx,普通,,炒,一口大锅,
火腿白菜豆腐煲,白菜、豆腐、香肠,BV1o44y1r7hX,,,,一口大锅,
鸡蛋饼,鸡蛋,BV1a34y117iz,,,,一口大锅,
鸡蛋番茄拌面,方便面、鸡蛋、番茄,BV1SS4y1G7fp,普通,,拌,一口大锅,
鸡蛋焖面,方面、鸡蛋,BV1SS4y1G7fp,普通,,焖,一口大锅,
鸡蛋蒜,鸡蛋,BV1TT4y127vu,,,炒,一口大锅,
鸡蛋西兰花豆腐羹,花菜、豆腐、鸡蛋,BV164411g77n,简单,,炖,一口大锅,
鸡蛋洋葱饭,洋葱、鸡蛋、米,BV1TU4y1H7Cr,,,,一口大锅,
鸡蛋芝士泡面,方便面、鸡蛋、香肠,BV1SS4y1G7fp,普通,,煮,一口大锅,
鸡蛋芝士培根吐司,鸡蛋、面包,BV1hv411E7RW,,,,一口大锅,
鸡胸肉蔬菜小饼,鸡肉、胡萝卜、花菜,BV1i7411d7Rd,,,,一口大锅,
家常黄焖鸡（多调料版）,鸡肉、菌菇、土豆、胡萝卜,BV17u411X7rR,,,,一口大锅,
煎蛋方便面,方便面,BV1s34y1X74a,,,,一口大锅,
煎蛋焖面,面食、鸡蛋,BV1d54y1v7JE,简单,,煮,一口大锅,
煎方便面饼,方便面、鸡蛋、胡萝卜,BV1Ey4y1g7p8,普通,,煎,一口大锅,
煎土豆,土豆,BV15s411A7GB,,,炸,一口大锅,
酱爆西葫芦,西葫芦,BV175411U7LU,简单,,炒,一口大锅,
酱黄瓜,黄瓜,BV1y4411T78H,简单,,腌制,一口大锅,
酱鸡蛋,鸡蛋,BV19L411u7H4,,,,一口大锅,
椒盐鸡翅,鸡肉,BV1HK4y1o77T,简单,,煎,一口大锅,
金丝午餐肉,土豆、午餐肉,BV1W34y1k7Bg,普通,,炸,一口大锅,
开胃莴笋叶,莴笋,BV16441147Dc,,,,一口大锅,
空气土豆,土豆,BV1RL411E7Uv,困难,,炸,一口大锅,
腊肠炒黄瓜,腊肠、黄瓜、米,BV1zA411x7oK,普通,,炒,一口大锅,
腊肠炒鸡蛋,腊肠、鸡蛋,BV1x54y127CC,普通,,炒,一口大锅,
腊肠豆腐煲,腊肠、豆腐、米,BV1Sf4y1r7mS,普通,,煲,一口大锅,
腊肠茄子煲,腊肠、茄子、米,BV1vW411g7td,普通,,煲,一口大锅,
腊肠烧麦,腊肠、面食,BV1VV411C7o2,普通,,烧,一口大锅,
辣味牛肉凉拌小黄瓜,黄瓜、牛肉、洋葱,BV1qr4y1Y792,简单,,,一口大锅,
辣子鸡丁,鸡肉,BV1Ma4y147MA,,,,一口大锅,
烂糊白菜,白菜、鸡蛋,BV1x3411y7eN,,,,一口大锅,
莲花洋葱（消耗洋葱！）,洋葱、鸡蛋,BV1MW411T7Cv,,,,一口大锅,
凉拌黄瓜虾滑,黄瓜、虾,BV1RF411W7v7,复杂,,,一口大锅,
凉拌莴苣,莴笋,BV1z3411Y7Bs,,,,一口大锅,
凉拌胸丝,鸡肉,BV1h54y1Q7pf,,,,一口大锅,
凉拌洋葱,洋葱,BV1BS4y1G7XD,,,,一口大锅,
流心蛋,鸡蛋,BV1Yt411G7Ut,,,,一口大锅,
萝卜牛肉煲,白萝卜、牛肉,BV1a7411L733,困难,,煲,一口大锅,
萝卜烧牛腩,白萝卜、牛肉,BV1nK41137Lb,普通,,烧,一口大锅,
萝卜烧排骨,白萝卜、骨头,BV1YV411f7L8,普通,,烧,一口大锅,
萝卜丝炒牛肉,白萝卜、牛肉,BV1jA411P7LJ,普通,,炒,一口大锅,
萝卜鲜虾煲,白萝卜、虾,BV1Mp4y1z7Yr,困难,,煲,一口大锅,
罗宋汤,胡萝卜、土豆、番茄、牛肉、包菜,BV1394y1d7f6,普通,,煮,一口大锅,
马拉糕,面食,BV1fa4y1a7Xy,困难,,蒸,一口大锅,
麻辣烫方便面,方便面、香肠、鸡蛋、包菜,BV1Yp411o7MB,简单,,煮,一口大锅,
焖泡面,方便面、猪肉、茄子,BV1s34y1X74a,,,,一口大锅,
秘制洋葱炒肥牛,洋葱、牛肉,BV1vT4y1E7fZ,,,,一口大锅,
牧羊人派,土豆、猪肉,BV1fY41187Xo,普通,,,一口大锅,
奶汤方便面,方便面,BV1s34y1X74a,,,,一口大锅,
牛肉蒸黄瓜条,黄瓜、牛肉、鸡蛋,BV1V5411S7Uv,普通,,,一口大锅,
拍黄瓜,黄瓜,BV1RV41167WV,简单,,凉拌,一口大锅,
铺盖打蛋,鸡蛋,BV1TT4y127vu,,,炒,一口大锅,
蒲烧茄子,茄子,BV1q44y1n78y,普通,,烧,一口大锅,
千层土豆,土豆,BV1nb4y147D6,困难,,炸,一口大锅,
茄汁大虾,虾、番茄、米、面食,BV1aJ411K75X,简单,,烧,一口大锅,
茄汁蛋黄浓汤面,方便面、番茄、鸡蛋,BV1s34y1X74a,,,,一口大锅,
茄汁豆腐,番茄、豆腐,BV1Xb4y1p7mv,简单,,烧,一口大锅,
茄汁花菜,花菜、番茄,BV1J541187QQ,普通,,,一口大锅,
茄汁鸡胸肉,鸡肉、番茄,BV1L54y1b7Xq,,,,一口大锅,
茄子卷,茄子、猪肉,BV1L3411H7EK,普通,,炸/煎,一口大锅,
芹菜炒腊肉,芹菜、猪肉,av209779329,普通,,炒,一口大锅,
芹菜炒肉丝,芹菜、猪肉,av806554209,普通,,炒,一口大锅,
芹菜炒香干,芹菜,av671691480,普通,,炒,一口大锅,
芹菜煎饼,芹菜、鸡蛋,av247131174,简单,,煎,一口大锅,
清炖牛肉,牛肉、白萝卜,BV1CL4y1n76E,普通,,炖,一口大锅,
青瓜炒火腿肠,黄瓜、香肠,BV1u7411Z79s,简单,,,一口大锅,
青椒炒荷包蛋,鸡蛋,BV1wJ41167uH,,,,一口大锅,
热拌莴笋叶,莴笋,BV1xJ411M7bc,,,,一口大锅,
日式汉堡排（废手）,面包、洋葱、猪肉、牛肉、鸡蛋,BV1UV411Y7HM,,,,一口大锅,
肉炒莴苣,莴笋、猪肉,BV14E411t7wh,,,,一口大锅,
肉末土豆茄子煲,茄子、土豆、猪肉,BV1Fu411S78s,普通,,煲,一口大锅,
肉丸萝卜煲,白萝卜、虾、猪肉,BV1gT4y1m7UK,普通,,煲,一口大锅,
赛螃蟹,鸡蛋,BV1ab4y1s7wk,,,,一口大锅,
三杯鸡（无九层塔版）,鸡肉,BV1dp4y1e73R,,,,一口大锅,
生煎白萝卜,白萝卜,BV1Yu41127Fa,简单,,煎,一口大锅,
薯条,土豆,BV1fY41187Xo,普通,,炸,一口大锅,
爽口腌莴笋,莴笋,BV1Vv411V7SE,,,,一口大锅,
水波蛋,鸡蛋,BV1TT4y127vu,简单,,煮,一口大锅,
水煮牛肉,牛肉、菌菇、莴笋、豆腐,BV11q4y1z7dD,复杂,,,一口大锅,
苏格兰蛋,鸡蛋、猪肉,BV1TT4y127vu,,,炸,一口大锅,
素烧白萝卜,白萝卜,BV1Z7411b7xo,简单,,烧,一口大锅,
蒜香蜂胸扒,鸡肉,BV1h54y1Q7pf,,,,一口大锅,
蒜香鸡翅,鸡肉,BV1sy4y1273W,普通,,煎,一口大锅,
蒜香鸡胸肉,鸡肉,BV1tf4y1A7xR,,,,一口大锅,
蓑衣黄瓜,黄瓜,BV1Wa411C7Gc,,,,一口大锅,
泰式卤蛋,鸡蛋,BV1TT4y127vu,,,卤,一口大锅,
糖醋荷包蛋,鸡蛋,BV1TT4y127vu,,,煎,一口大锅,
糖醋鸡胸肉,鸡肉,BV1h7411C7PZ,,,,一口大锅,
糖醋里脊,猪肉,BV1Dt411B78h,普通,,炸,一口大锅,
糖醋茄子,茄子、米,BV1TE411L7Gp,普通,,烧,一口大锅,
铁板豆腐,豆腐,BV1dU4y1d7hz,简单,,,一口大锅,
土豆拌饭,土豆、香肠、米,BV1YD4y1c7ip,简单,,炒,一口大锅,
土豆炖茄子,茄子、土豆,BV1uP4y1M7rt,普通,,炖,一口大锅,
土豆胡萝卜炖牛腩,牛肉、胡萝卜、土豆、,BV1R54y1E7JX,,,,一口大锅,
土豆腊肠煲饭,腊肠、土豆、米,BV1wV411o7Sq,困难,,煲,一口大锅,
土豆泥厚蛋烧,土豆、鸡蛋,BV1DL4y1j7Nu,困难,,煎,一口大锅,
土豆烧牛腩,土豆、牛肉,BV1qs411u7gj,普通,,炒,一口大锅,
吐司进阶吃法,面包、鸡蛋、虾、包菜、香肠,BV1Tq4y1t7DC,简单,,,一口大锅,
丸子面,方便面、猪肉、牛肉,BV1s34y1X74a,,,,一口大锅,
莴笋菜饭,莴笋,BV1wC4y1Y7iY,,,,一口大锅,
莴笋炒虾仁,莴笋、虾、胡萝卜,BV1ZT4y1g7Y2,简单,,炒,一口大锅,
莴笋炒鸡丁,莴笋、鸡肉,BV1hb411i7X2,普通,,,一口大锅,
莴笋炒腊肉,莴笋、香肠,BV1Ms411F7da,简单,,炒,一口大锅,
莴笋胡萝卜酿肉,莴笋、胡萝卜,BV1754y1y7eV,,,,一口大锅,
莴笋三吃,莴笋,BV1Bf4y1E7BR,,,,一口大锅,
午餐肉蛋炒饭,午餐肉、鸡蛋、米,BV1HE411X7xR,普通,,炒,一口大锅,
午餐肉土豆锅,午餐肉、土豆、胡萝卜,BV1gT4y1Q7R8,普通,,煮,一口大锅,
西班牙土豆鸡蛋饼,鸡蛋、土豆、洋葱,BV1Vz4y1D7nF,,,,一口大锅,
西葫芦鸡蛋饼,西葫芦、鸡蛋,BV1Mt411T7pF,普通,,煎,一口大锅,
西葫芦蒸蛋,西葫芦、鸡蛋,BV1R94y1d7dd,普通,,,一口大锅,
西兰花炒虾仁,花菜、虾,BV1nv411B78i,简单,,炒,一口大锅,
香菇白菜汤,白菜、菌菇,BV1Cs411G7bw,普通,,,一口大锅,
香煎鸡胸肉,鸡肉,BV1W4411j71M,,,,一口大锅,
香辣鸡胸肉,鸡肉,BV1M34y187r2,,,,一口大锅,
小炒鸡胸肉,鸡肉,BV1pF411a7nW,,,,一口大锅,
小炒牛肉,黄瓜、牛肉、米,BV1MK411T7NX,普通,,,一口大锅,
雪碧拌面（要雪碧+老干妈）,方便面、黄瓜,BV1az4y117d1,,,,一口大锅,
阳春面,面食,BV11E411C7e7,简单,,煮,一口大锅,
洋葱拌鸡丝,洋葱、鸡肉,BV1Ki4y1P7tN,,,,一口大锅,
洋葱拌木耳,洋葱、木耳,BV1n5411H7Yo,,,,一口大锅,
洋葱炒鸡蛋,洋葱、鸡蛋,BV1Dp4y1k7Mu,,,,一口大锅,
洋葱炒肉,洋葱、鸡肉,BV1QV41127ES,,,,一口大锅,
洋葱炒土豆,土豆、洋葱,BV1mg4y1b7z3,,,,一口大锅,
洋葱虾仁滑蛋,鸡蛋、牛肉、洋葱、虾,BV1uE411N7AN,,,,一口大锅,
洋葱排骨,洋葱、猪肉,BV1Q3411j7p6,,,,一口大锅,
洋葱烧鸡肉,洋葱、鸡肉,BV1hW411y7Dp,,,,一口大锅,
一口酥豆腐,豆腐,BV1dU4y1d7hz,普通,,,一口大锅,
一只鸡蛋糕,鸡蛋,BV1X7411a7EQ,,,,一口大锅,
英式炒蛋,鸡蛋,BV1TT4y127vu,,,炒,一口大锅,
油墩子/腰子饼,白萝卜、芹菜、香肠、面食、鸡蛋,BV12b4y1i7DP,,,,一口大锅,
鱼香茄子,茄子、鸡肉,BV1yL411E7oP,普通,,烧,一口大锅,
杂粮蒸糕,面食,BV1vf4y1T7gY,普通,,蒸,一口大锅,
炸蛋,鸡蛋,BV1TT4y127vu,简单,,炸,一口大锅,
炸胡萝卜块,葫芦卜、鸡蛋,BV11a411i7f4,普通,,炸,一口大锅,
炸胡萝卜丸,胡萝卜、鸡蛋、香肠,BV12r4y1i7ud,普通,,炸,一口大锅,
炸茄盒,茄子,BV1df4y177NB,普通,,炸,一口大锅,
炸薯卷,土豆、香肠,BV1Na4y1a7LA,简单,,炸,一口大锅,
炸洋葱,洋葱,BV1ib411V7H2,,,,一口大锅,
照烧鸡胸肉,鸡肉,BV12Q4y1K7CA,,,,一口大锅,
照烧牛肉,牛肉,BV1mq4y1x7o3,普通,,炒,一口大锅,
朝鲜冷面（方便面版）,方便面,BV1s34y1X74a,,,,一口大锅,
蒸蛋羹,鸡蛋,BV1Wt411Z7td,,,,一口大锅,
